deal_id,venue_id,deal_name,description,category,deal_price,original_price,is_food,is_drink,is_active,valid_through
AD001,ARL001,50% Off Wing Night,Wings 50% off. $5 shots (limited selection) also available.,food,,,TRUE,FALSE,TRUE,
AD002,ARL001,$5 Shots - Wing Night,"Limited selection shots, paired with wing night.",drinks,5,,FALSE,TRUE,TRUE,
AD003,ARL001,$12 Taco Tray,Taco Tray special for Taco & Tequila Tuesday.,food,12,,TRUE,FALSE,TRUE,
AD004,ARL001,$4 Margarita Pints,Taco & Tequila Tuesday drink special.,drinks,4,,FALSE,TRUE,TRUE,
AD005,ARL001,$5 Tequila Shots,Taco & Tequila Tuesday. Limited selection.,drinks,5,,FALSE,TRUE,TRUE,
AD006,ARL001,Burger & Beer Combo - Karaoke Thursday,$20 burger + beer combo during Karaoke Thursday.,both,20,,TRUE,TRUE,TRUE,
AD007,ARL001,$5 Shots - Karaoke Thursday,Limited selection shots during Karaoke Thursday.,drinks,5,,FALSE,TRUE,TRUE,
AD008,ARL001,$5 Shots - Friday DJ Night,"Limited selection shots during Friday DJ Night, vibes at 100. NOTE: actual close is 2am; schedule end truncated to 11:59pm pending midnight-crossing schema fix.",drinks,5,,FALSE,TRUE,TRUE,
AD009,ARL002,J Street Trivia Drink/Food Special,$5 Solace Artificial Light (German Pilsner) + $3.50 tacos during trivia.,both,5,,TRUE,TRUE,TRUE,
AD010,ARL002,Saturday Power Hour Tier 1 (11-12pm),"QH Mexican Lager & all rail drinks. Order at bar, no QR ordering.",drinks,1,,FALSE,TRUE,TRUE,
AD011,ARL002,Saturday Power Hour Tier 2 (12-1pm),"QH Mexican Lager & all rail drinks. Order at bar, no QR ordering.",drinks,2,,FALSE,TRUE,TRUE,
AD012,ARL002,Saturday Power Hour Tier 3 (1-2pm),"QH Mexican Lager & all rail drinks. Order at bar, no QR ordering.",drinks,3,,FALSE,TRUE,TRUE,
AD013,ARL002,Saturday Power Hour Tier 4 (2-3pm),"QH Mexican Lager & all rail drinks. Order at bar, no QR ordering.",drinks,4,,FALSE,TRUE,TRUE,
AD014,ARL002,$3 Slices - Saturday,"Saturday pizza slice special, same day as Power Hour.",food,3,,TRUE,FALSE,TRUE,
AD015,ARL002,Martini Friday BOGO,Buy one get one free espresso martinis. Dine-in only.,drinks,,,FALSE,TRUE,TRUE,
AD016,ARL003,$2 Off Draft Beer - HH,Happy Hour Mon-Fri 3-6pm. $2 off all draft beer.,drinks,,,FALSE,TRUE,TRUE,
AD017,ARL003,$5 House Wine - HH,Happy Hour Mon-Fri 3-6pm.,drinks,5,,FALSE,TRUE,TRUE,
AD018,ARL003,$5 Rail Drinks - HH,Happy Hour Mon-Fri 3-6pm.,drinks,5,,FALSE,TRUE,TRUE,
AD019,ARL003,$4 Narragansett - HH,Happy Hour Mon-Fri 3-6pm.,drinks,4,,FALSE,TRUE,TRUE,
AD020,ARL003,$5 Tito's Bloody Mary Bar,Bloody Mary bar special. Day/time window not shown on this poster segment -- appears brunch-adjacent given nearby waffle/egg items.,drinks,5,,FALSE,TRUE,TRUE,
AD021,ARL003,$4 Sunrise Mule,"Vodka, ginger beer, orange juice. Day/time window not shown on this poster segment.",drinks,4,,FALSE,TRUE,TRUE,
AD022,ARL004,Lunazul Margarita,Classic marg on the rocks.,drinks,9,,FALSE,TRUE,TRUE,
AD023,ARL004,Drunken Arnold Palmer,"Vodka, iced tea, lemon simple.",drinks,9,,FALSE,TRUE,TRUE,
AD024,ARL004,Espresso Martini,"Vodka, Irish cream, cinnamon syrup.",drinks,10,,FALSE,TRUE,TRUE,
AD025,ARL004,Miller Lite Pint,,drinks,5,,FALSE,TRUE,TRUE,
AD026,ARL004,Narragansett Pint,,drinks,4,,FALSE,TRUE,TRUE,
