address,latitude,longitude
"1776 Wilson Blvd, Arlington, VA 22209",38.8939031,-77.0782588
"4001 Fairfax Dr, Arlington, VA 22203",38.882749,-77.10823
"4100 Fairfax Dr, Arlington, VA 22203",38.882149,-77.109676
"900 N Glebe Rd, Arlington, VA 22203",38.8805473,-77.1145055
"3185 Wilson Blvd, Arlington, VA 22201",38.8864932,-77.0967666
"3165 Wilson Blvd, Arlington, VA 22201",38.886702,-77.0964167
"2854 Wilson Blvd Suite B, Arlington, VA 22201",38.8885986,-77.0929038
"2300 Clarendon Blvd, Arlington, VA 22201",38.8899819,-77.0866761
"3100 Clarendon Blvd, Arlington, VA 22201",38.8864256,-77.0952568
"3181 Wilson Blvd, Arlington, VA 22201",38.886635,-77.0966338
"900 N Glebe Rd, Arlington, VA 22203",38.8805473,-77.1145055
"2051 Wilson Blvd, Arlington, VA 22201",38.8918992,-77.0842156
"4213 Fairfax Dr, Arlington, VA 22203",38.8820474,-77.1120448
